prompt,completion
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so"," they looked left to check.

The boy felt sad until he saw a friendly frog. He said to the frog, â€œDonâ€™t worry, I can help you find your home.â€ The frog hopped closer and saw the little boy looking up into the water.

The boy looked and saw the frog. The frog said, â€˜Spruit is safe for you to play when a frog jumps in and it helps you feel scared.â€

The boy and the frog became fast friends. Every soul was kind to the frog. He was no longer scared of any more than before - always happy, and kind.


Once upon a time, there was a little girl named Amelia. She"
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so"," he asked a nearby boy, ""Can you help me get my toy?"".

The boy looked closer and said, ""What do I have here, I can use my tool for the little boy and then have it for you."" The bird flew over to the boy and touched the cap.

The boy thanked the bird and they started their adventure. After a few minutes, they got out and they flew back down into the sky.

The little boy was happy that he had saved his find. Even the bird thanked the boy and flew away with the tool he brought it back to the boy.


Once there were two friends. They wanted to have a great time together. So they decided to go to the beach and get together. So, they took a boat out, the sandy surfer and they put the waves in front of them.

They sa"
"One day, a bird was flying high over the sea. At some point the bird noticed small boat with a boy sitting inside. The boy looked lost so"," Lily and they both looked everywhere for him. 

After a while, Lily spotted the boy and asked if she had seen him. The boy said, it meant to keep the boy with her so they would miss him from the big sea. They searched deeper of big waves and deeper, but then Lily saw the boy hiding in front of him. 

Lily knew she had to help him and said, ""Why don't you take him back to his home? We need to take a shower to the big sea!"" The little boy didnâ€™t know what that meant but then he thought that he could tell it was not his and his family had a special surprise. He said goodbye to Lily and the little boy, and they went their separate ways. From then on, the little boy learned that itâ�"
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try"," some fruits?""

His father smiled and said, ""I can take the fruits to eat them.""

So Joe took a bite. It was so yummy! He asked, ""Yum!""

His father laughed and said, ""Well, that is so silly that you should have only a little piece of fruit to enjoy.""

Jimmy was sad but knew he had to share.

The two mice thanked him and shared the fruits with his family and enjoyed them together in the park. The end.


Once upon a time there was a little girl called Anna. One day, Anna went outside to enjoy the sunny day.

Anna put on her sun hat and went out of the shop. As she walked, out of her back yard and into the sun, all around her!

Anna was walking and smelling a delicious flower in the sky. But"
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try"," some too?"" His father thought for a moment then replied, ""Sure, let's get some to get some.""

Jimmy started to gather the fruits from the tree and then quickly found some sour fruit. It was bitter, so they both started to chew.

Suddenly they saw a little mouse with a long third mouth. 
Jimmy asked, ""What's wrong, daddy?""

His father replied, ""These are only fruit in this house."" 
Jimmy's eyes lit up and she said, ""Maybe I can't make too much noise!"", the mouse came up with an idea.

Together, Bobby and his father picked out the sour fruit that the mouse could chew his thirds, so no more bitter fruits and seed! They took a big bite and was so happy that their father had increased. 
"
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try"," those fruits from the tree?"" They both agreed and so Dancitedly helped them get the fruits and he could take them home to eat.

Once, one of the father chuckled and he took a bite to the same thing the little boy saw when he asked for two pieces of berries. The little boy started to laugh, because he knew he had found something delicious!

At home, he took out all the yummy fruits and put them in a basket. He smiled and said to himself that his father might have been so kind to keep everyone healthy.


Once upon a time, there were two friends, Mike the Bear and Beth. They were good friends, but sometimes it was not very good. One day, Mike said to Beth if Beth could help her with the task, and Beth told him she would go to"
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try"," a peach, daddy?"" The father replied, ""Sure! Here you go"".

Jimmy was so happy to get to his surprise, he thanked his father for the fruit and said, ""I'm going certainly and I'm going to learn more about the fruits today!"" 

So his father brought him a piece and they spent the whole day looking in town the garden. Every day, they watched him learn new things and soon, they all started learning more. After that, they knew they would do something fun but that he'd do it for another day to learn even more about apples in the end. 

The end.


Once upon a time, there was a little girl named Anna. She loved to play golf in her golf and get ready for the best part in her golf. One day, she started roll"
"Jimmy was on his way to school with his father when he noticed a tree with strange looking fruits on it. He asked his father, ""Can I try"," some?""
Johnny's father said, ""Yes, of course. Papa will take a bite!"" So the father picked John up a few of the fruit and smiled.

Tome tasted a little bit the yummy-looking pepper tasted like pepper. Then a few minutes later, the father was much crispst and smoother than a star! Everyone loved it! It was so tasty, and Tomny couldn't wait to try it with the father for his father to taste even better next time.


Once upon a time there were two friends . One was a big box. They wanted to open the box together. A 3 year old boy named Tommy would try to lift the grocerse things and make things right by lifting things. He was very proud. 

Then the 3 year old"
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find"," the person who wanted to play the game.

Jack thought it was a great idea and decided to show Joe a trick. Joe was happy and he agreed to tell the person to tell him secret.

Once Bob was close enough to Joe's order and Joe began laughing, trying to figure out what Jack had. Joe's friend told them about the game but they had a lot of fun together!

Jack and Joe kept the game, laughing and playing all day!

Jack and Joe were very proud that they had made so much noise with their best friend the game. They were happy they were no longer ignorant, because this time limits would last.


Harry was running by a big lake. He ran to the edge of the lake and was wearing a blue hat.

Along the lake, he saw two children playing"
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find"," one together. Maybe that could make the most important thing - if you are a bit careless and that you are not supposed to share, even if you are spoiled and hurt each other!

Joe understood. He said to Joe, ""I'm sorry. I just wanted peace and happier"".

And so the two of them played together until the fight got darken. As the sky pass, the sky turned brown, a little bright breeze blew.

In that moment, Bob started to cry again. Joe said, ""Itâ€™s ok, if you do it again, I'm not mad anymore, so I can forgive you for being so care about everything."" 

But then, the sky turned darken and a gentle wave blew by in an oat. Jack and Joe stopped crying, and the lake got small"
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find"," Jack a secret. 

Jack set off to work on his surprise. He soon spotted a large, shiny medal on the side. Joe picked the medal. Suddenly, he had created something hidden inside. It was huge and it was the medal reaction!

The other friends gathered around it, but couldn't find the medal. So Jack started his search. It led her up with the medal to the other friends.

Finally, Jane found the answer inside her. From now on, Jack was never bored! They had each day when they felt the special moment they would always be best friends forever.


Polly was very independent. Everyday, she was going on a trip with Mom and dad.

Polly needed his nail for the toddling it to her car. The car stopped right away!

""Oh"
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find"," one.

Jack: Quick and Jack: Quacket, run!"". Joe was fast and Jack was faster. 

But Joe just had to give Joe a hug. Joe was so envious! 

Just then Joe had an idea. He said it would take care of the friends to meet a friend who would come and teach him not to be envious. He said he was taking care of their friends. 

The friends were excited! Joe joined the group and ran fast into the playground together. Jack joined in and soon he made a group of friends running and laughing. 

From then on, Jack was no longer envious of his friends! They played together every day and Joe was never envious.


Michaileson was an ancient aer pit which was lined to do what they meant."
"Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find"," out who was making us both suspicip.

The next day, Jack and Joe found all sorts of silly shapes. One had a funny-looking blue on the same pavement, because it made him happy when he had someone else playing with his other symbol.

At night, Jack had a special secret to show Jimmy. He said to Joe, â€œThis is our magic!â€
Joe grinned, â€Hour-shill, â€œIt won't do that again â€.

Jack grinned and said, â€œNo need to talk to my friends, donâ€™t give them away. That way"
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the"," noise. Soon they arrived on a river.

When they got to the river, they got an even more incredible drink to enjoy! They splashed and jumped. When the water was cool down on them's body. They thanked each other and said it was the best day ever!


Once upon a time, there was a girl named Lucy. Lucy and her parents were very excited but they had been out for a drive home. 

On the way, Lucy spotted a funny-looking gear! ""Mommy is coming, my dad is calling me up"". She walked up to the gear and asked it, ""Can we play with it?"" 

The gear replied, ""Yes Lucy, you can play with it.""

Lucy was very happy and hugged the gear. She said to the gear ""Hello, Bell See!"" 

From that day"
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the"," voice and the door started to lead them. After a while, she spotted the sound that someone had almost taken something behind her. The door was darker and very tall. Sally and Jack felt scared and quickly opened the lid and releaseed the lid! He found a cozy corner that had only a few coiled books.

Tim and Sally decided to help out the problem and soon they made it all by themselves! They said the lid would always keep by putting pictures carefully, so they went on exploring the forest together. From then on, they stayed close so that even though an ordinary child was still sleeping and safe. 

The end!


One day two kids were in the park watching a huge tree fall in. Both little girl sat there waiting to observe the sky below.

""What are"
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the"," sound. They stopped to look around and saw that someone was talking to two mice.

Suddenly, it felt like they were speaking to something.

They both said, â€œOh Jack and Sally, it is ok to be so quiet. Letâ€™s hear this nice sound from far."" 
Jack smiled and said, 'That sounds like fun!â€

Late, they continued exploring their neighbourhood, taking in the park, feeling very happy and proud.


One sunny day, Joe and his mom were in the attic. Joe was playing with water. He was having so much fun! Suddenly, a scary lion hopped out of the stairs behind them! Joe started to cry.

Mom said, ""What are you sad, Joe? Why don't"
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the"," sound. They followed a path until they found a big billboard. Everyone had seen the sound and asked lots of questions. Finally they came and they saw Jack. It was the billboard and had a picture to say about.

Both of them walked together for a long time. Sally felt so happy she was there! She showed Bob and Tim the best joke in John's arms. It was a happy joke that had come from and they would all laugh about it.


Sammy was excited! He loved looking at all the pretty things. It was a razor because the sky was blue and the sky was blue. So his mom showed him the razor and told him to turn and turn away.

Sammy pushed through the razor in, until he made it all the way there. Finally, he stepped up and down, just in"
"Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.
“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the"," noise.

They finally arrived at an open field of green grass that shimmering in the sun. When they looked, they saw a huge tree. The tree had shut bright coloured in the middle. 

When the ground was filled with green leaves, Sally and Jack could see that the tree was shining like a diamond si. They stopped to pick some more leaves and they could have a closer look. Together, they dug out to find more green leaves and made their path look just like the one they spent picked.

The sun shone brightly as Jack and Sally walked around the field, admiring the leaves and all the wonderful smell. Show, they all agreed with everyone.

And that's what they did - their time in the forest, growing the most beautiful green trees had ever been!


Once upon a"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen"," to him, little bear?"" The squirrel said yes and Diva worked very hard.

She mixed all the ingredients with a lot of sugar and soon the cake had made a beautiful, yummy cake cake. Diva loved it, and it was delicious.

After baking the cake was set, she decided to bake something extra extra yummy. After all their bake, the ingredients were delicious - just like they did, and they ate the treats. All of her friends thanked Diva for taking such a delicious, delicious treat. The ingredients said, ""You're welcome Diva!"" and Dipin agreed. She went back to playing the cake, and soon it was time for the party to finish. 

She had the best day ever, and she went to bed"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen",", squirrel, come here and eat me!"" 

The little squirrel opened his mouth and saw a lot of sugar in her hand. She was so excited and said, ""Thank you, friend! Do you eat this? That is not food.""

Diva and the squirrel looked for other food until they found a jar of sweets waiting for the cake in the garden. Diva was so happy and she ate the sweets, yummy and asked the squirrel if it needed help and they all agreed. 

Diva was so happy that she forgot to ask her animal friends for help when they needed anything. She also realized that if she ate too many sweets, the best thing ever might happen when an apple was delicious.


Dan was a little boy. His name was Tom. He enjoyed being curious about the world around his and the people would try"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen"," to share my sugar? If you promise to help me out?""

Diva thought for a moment and then answered, ""I will not quit. Can I help?"" The squirrel sniffed and said, ""Not yet, my sweet taste will make a sour face. If you eat this cake, I will get the sugar."" Diva was happy to help the fox to be less selfish and let him bake.
But then he had a mean urge. He said, ""You should be patient and give me the sugar. It makes my ears sour, but I also want some too."" Diva felt sad and decided to be patient.

The squirrel took the sugar from Diva and gave the sugar to her again. He did and he smiled. Diva felt happy and said, ""Thank you,"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen"," to your house?""

The squirrel replied, ""Yes please, I'll give it some. But don't worry. Follow some advice to get there"". With the squirrel's help, the bunny was able to bump into everything! 

The bear thanked Diva for the kind present and they went off to eat the last piece onion. Divor was very grateful. She knew she had helped the advice and they both lived happily ever after.


Once upon a time, there was a nice little girl called Linda who wanted to go swimming in the park. She was feeling anxious and so did Linda. Her teacher saw her and thought her sadness had gone away.

She asked Linda to make it better than something that would help her.

Linda's parents agreed, and she decided"
"Once upon a time there was a little bear named Diva. She was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen"," over here?""
 
The squirrel replied, ""Yes, what flavor do you need? You don't have any sugar on the oven may may taste!""
Diva replied, ""Oh. I don't have enough. I'll go look for it later!""
The squirrel was hesitant at first and then he asked if she would like heal enough money on her own. She was very careful, but she said no more to buy anything without asking. 

So with a bit of effort, the squirrel eventually took the sugar away and returned her note. Diva was excited. She went to explore, she found lots of things she could buy: things that were different.


Once there was a family who wanted to go sailing. They were so busy, as you set up a tent. It needed someone to sail"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that"," it needed to hold and heavier to keep going up.
The girl tried her way but it wouldn't come over for anyone to carry. She kept crying out of sadness and the whole town was already looking after her home.
When Anna was feeling down, she decided to try something small and strong she found some other children. She decided the children wouldn't hurt her go as long as she stepped all it through the streets.

Anna kept walking until it came to a new home. She found that there was an alligator waiting for her to take it out so she had to be brave and take the alligator out from one of her village to the other.

When the alligbra arrived, all the others was so surprised and very proud. It was very popular and everyone had a happy life!


One sunny day, Jack was r"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that"," because it was so heavy that other people had to carry heavy bags for the journey!
Anna thought that had so many people who would support her and they would come along with her backpacks again next.

But at the end of one week, Anna heard the man say she was sorry, so she started to cry. Then one of her friends said to her, ""We don't know what we can do"". After a while, Anna had no choice and felt like she was flying. All of her friends in her class were excited and hugged them and she said that everyone was special.

In the end, all of her friends said it was worth to go backwards for it at school. They all laughed together, knowing of how she'd have learnt something about her.  And from that day forward that every time Lily vis"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that"," was too little. This time, it was too hard to bend into the air and it made her cry a little bit scared.

Sadly, Anna decided on a special journey of climbing the further. She grabbed her backpack, and her shoes and pulled her feet on their feet. Suddenly, she felt anxious. Her stomach started to rumble too! 

Anna tried to cries but eventually she got dizzy. All she fell over, feeling even more sadder for her friends. But her friends encouraged her not giving up again but she could tell them to take a new path instead!


Once there was a bald man with two hands. One of them had a pet mouse, who went on a walk every day to show everyone that they were hers.

One day, the bald man took"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that"," she had not allowed her to carry it all the way home but she should help it carry. Anna smiled at her work as she helped her get it to a better place.

The End.
She carried the little bag of rocks, held it gently in her hands and it became less heavy and small, but sure enough, it was the strongest it brought. With Anna by her side, she was able to carry the heavy bag of rocks all over again! Anna was so happy. She kept all the pieces all by herself and enjoyed the day in her hands.


Once there was a poor boy named Ben. Ben was very sad because he was hungry. He thought of any animals to eat and he felt very alone. 

John found some friends, but couldnâ€™t find food that the other. Suddenly one of the friends had an idea"
"Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.
One day, Anna's friends asked her why her backpack was so heavy. She said that"," someone must be trying the best way they were. 
Then, the teacher showed Anna a way to make her stand up. She had lots of fun doing it, too! Her friends cheered for her and gave her an easy way. It helped her stand standing up, and she said ""you may try the strongest, it won and she is never too heavy"". 

The girl had so much fun helping her friend with her, and everyone cheered for her. Her friends loved Annaâ€™s work, and they were so happy to see her go on her way home.


Once upon a time, there was a furry cat. The cat was always search and searched for something fun that no-thest the cat wanted.

One day, a tiny bunny went for cered and asked everyone if they heard was a bird. One"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"No! So Anna decided to go to the park instead. 

Once she got to the park, Anna's mommy was very busy cooking. Anna heard a loud noise coming from the bushes. They ran over to their friendsâ€™s yard to get their tools to move. But Anna was too busy talking to them, but her bossy little idea just couldnâ€™t help but move out like that, no one could move.  

Soon Anna was able to make the park and play lots of games with her friends. Everyone was having a great time playing and laughing. Anna eventually came up with her mommyâ€™s opinion to go home! She was very happy but she felt sad.

But her mommy was so proud.  From that day, Anna learned that being"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"â€™s house had to go. Her parents ulied at first but no matter that they would be able to go.

Then, in time out of the park, Annaâ€™s parents decided to help her build a house. They made a house with lots of wood and paper and chairs. Now Anna's house, her house was even more beautiful!

Anna was so glad to get home and she hugged her parents tightly before they all played on the swings. But when it was time to go home, Anna realised all she couldnâ€™t wear all her clothes in her bed. 

But that even after some time, something important came to help their houses. Her parents had given her lots of hugs and gave her a warm sweat.

With a"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"iron go to the park forward but no one could bring her favourite toys without asking.

Anna was disappointed that she couldn't take out for a moment. So instead they had to let out a plan. That's how Lily and her mother suggested they try the little girl's new toy. Everyone was so excited if they could have fun as she was about to do some dance moves, while she enjoyed the feeling of the music together.

When it was time for Anna to go home, she asked her three year old where she had seen something. She said that there were in the park and it had a lot of children in it to think. They all agreed, the game seemed just to make friends. Everyone joined in and they began the race!

Anna was so proud of herself. She was very independent. Everywhere was going,"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"Victictic was a good idea.

But then, something strange happened. A giant monster came up to the stage and he roared. The monster ran past them and Anna was so scared! The monster was big and scary and Anna cried for help.

Just when Anna's mum had done her job, a friendly old lion appeared. The lion came to her with a smile and asked him to help. Victain said that the monster could help them to make a new story! Anna was so grateful and thanked the lion, she gave him her new story.

The lion was very happy that he didn't have to be scared anymore. He and the lion became friends and they went to the park together often and never forgot this special story for an adventure in the forest.
The end.


Joey was so excited at the park today"
Once there was a young girl named Anna. She was three years old and usually very happy. Today she was sad because she couldn't play in the park. She had asked her parents to take her but they wouldn't listen. Anna insisted that ,"education to come. Suddenly, a big truck began. Anna was really scared. She was so afraid she would never get in trouble. 

Then she saw a man. The man smiled with a smile and said 'yield'. The little girl ran to him and gave him a gentle hug. She hugged and the man was really relieved. 

Anna thanked the man and hugged him as he told the kind man that made her so happy. She was so happy and safe with himself! From then on Anna kept going to play in it safely and never worry about having a nice day.


Once upon a time there was a young little boy who wanted to go to the stall. He knew he had to get to the top first so they could go, but the couple would wait.

One day as they were at the stall, the young girl started"
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped"," the dishwasher, and it was the perfect way to make the kitchen bright and smooth.
Grandma helped Jenny mix the pot. The ingredient was ready, and it worked together.

When the 3 year old was ready, Grandma asked her, ""Do you want to help?""
Mama smiled and said, ""Yes, please.""

Jenny helped mama to the dishwasher. She took a few more minutes out and started stirring. When the 5 ingredient, mummy and Jenny were proud to see the dishwasher.

Grandma said to Jenny, ""You did a great job. Now let's put it in the oven!""

And Jenny and Daddy watched carefully. They both enjoyed the delicious dishwasher until the cake was finished.


It was"
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped"," the pot, raced to the floor. The cake was wet and slippery! 

Jenny's granddaughter saw her. She shouted, ""Grandma, help! The ingredients!"" Jenny started to run back to help Grandma carry the dish. 

""Grandma?"" Jenny asked her granddaughter. Jenny smiled and said, ""Yes sweet of course! We can cook our tasty cake together!"" 

The two enjoyed the tasty cake and shared the yummy ingredients with all of Jenny's granddaughter. Jenny was glad that Grandma had packed the cake and the delicious cake was ruined! 

""I said to go with you, Jenny, and gave her granddaughter lots of dood than they do. Jenny agreed, and happily may not forget about the dish he"
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped"," the dish by mistake and fell. Grandma was in the kitchen with the ingredients and added sugar. Jenny watched carefully with the mixture. Grandpa said, ""What's ounoting?""
Jenny and Grandma said they were getting so excited, so they set them up on top of the oven. When the cookies were done cake done, Grandma gave Jenny a big hug and said: ""Thank you so much - this cake is very tasty!"" Jane smiled.

The End.


Jack had a big job. He wanted to organize one of his favorite things. He had to be careful and tidy, carefully and he put in books. He was careful with his special place and was a long time. 

Jack made sure all what he was doing organizing. He tidied up the books, neatly and tidy in ne"
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped"," her measured hands and mixed them up the batter. Soon they were finished.

Grandma poured the batter in the oven and gave it back to Jenny. The baking was done. Grandma cheered and clapped her hands.

The Enderetment was full of the little girls as she smiled. Grandma was proud of herself for being so good.


Tommy had a big bag of special oatmeal. It was so delicious he couldn't resist.

Every morning when his mom called him for some oatmeal, he would pour the oat slowly into the bag. Tommy watched the rice slowly come out the bag and smell amazing!

Soon the oatmeal arrived again with lots of fun and tasty ogghes. He ate it up, tasting and even made sure everything was fresh"
"One day, Grandma was in the kitchen getting ready to prepare. She had the ingredients for a tasty dish.
Grandma said to her granddaughter, ""Are you going to help me make this meal?"" Her granddaughter, Jenny, replied, ""Yes, I will help you!""

Grandma and Jenny began to prepare the ingredients. Jenny was clumsy. She dropped"," the plat of plats into the pan when they went out.

When they finished their cake, the little girl was so proud. Grandma said, ""I did the best!"" Grandpa smiled and said ""You know just making this delicious meal!"".


Once upon a time, on a sunny day, a little fish and Marty wanted to go swimming in the river. Marty swam faster and he came to a big pond. Both of them wanted to swim all by himself. He swam over it quickly, which was the best game to race on! He laughed, smiled a big wave, and the water felt all dry. Then, he swam up and went over to have a swim of swim. They rushed along, swam in the water with him. But then, Marty got off the edge and caught one another.
"
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both"," to buy these toys, this is so much fun!"" 

Max knew his mother's word - he didn't need to eat what was perfect, though. So he started to pick up his toy and decisher that he was going to spend on the special moment, then he grabbed his favorite red truck and ran outside, playing with it. As soon as the sun began to go down, he couldn't help, he had made some friends that were really nice with the food. The friends were happy as they got each other, and they shared some snacks, and from that day onwards they always loved to spend all day.


Once upon long time, there was a boy named Timmy. Timmy lived in a house with his mommy and daddy. One day, Timmy's daddy wanted to marry for winning because he was alert. Daddy had a big red nose"
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both"," of these things. Bike.""
So Max got out of the pig, but he just could not have the money. His mother had already left with his children and felt bad. She explained to Max that she needed to buy five plenty of plastic things in her bag, but he could not pay attention and he might not be able.
Jack was very sad and he knew he needed to listen to his parents so that they gave the pig back. So, his mother taught him a lesson to never buy a things without asking so much money.
Max listened to his mother and realized that sometimes you need to pay attention and think before he can find what you want, even if he didn't like. 
Tom and his mother had a lot of value, but it's important to listen, no matter how selfish he may always ch"
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both","!"" He was excited to get to the toys. But no matter how hard his little hands got, he couldn't figure it. He started to get scared, because he had never had a bag full of things before.
He kept insisting that he would get very upset with no choice and started to get into trouble too.
Just then he spotted another boy running towards the store without perplasing the boy. Max stopped and was very surprised that the little boy was trying to catch him. The boy said he would help, but that he would never be so mean to it!
The little boy felt relieved, and he knew he had almost gotten back in. He had changed his situatest place and now he had chosen to do a very brave thing.


Phil was a curious three-year-"
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both"," these things from different things.""

At first the toy was a smaller, but one thing he liked him a lot and he asked for the fres. At first, after a few weeks, the fresh air and soil were perfectly paid off!

Max was so excited, he wanted to give his mother more things to choose as many coins as he left his mother's house. His mother said she would bring Max another one, which was as nice and he should just put the coke back down. 

He then chose the coins and went to the store. At home, he found another way for their coins, but sure enough, he found the perfect wire just the perfect for him.

He put it around his daughter's neck and went back to her. She knew she'd really needed it more, he"
"Once upon a time there was a boy named Max. He was at the market with his mother, where he saw two things he wanted very much: a toy car and a jumping rope.
He knew that his mother would not let him buy both of these things, and that she would probably tell him that he has to choose one. He said to her, ""I want both"," of you to use the toy cars. It's so attractive that we both love it"". 

His mother smiled. She handed him the toy car and said, ""Sometimes, but it's nice to try new things. Take some of this.""

Max listened to his mother and enjoyed all of his things. Then he ran off to pick another, excited to play with the toy car.


Once upon a time there was a wise old man. He lived with lots of fuel by himself in a big, dark room. He loved to look up at all the fuel. His favorite thing to do was to go around and see! After many days, he finally arrived to the little boy's place full of fuel and his fuel. He was excited and excited to start exploring his new place! He looked around the room looking up"
"Once upon a time there was a small brown mouse who lived in a big tree. The mouse wanted to be better friends with the birds that flew around the tree, but they were always too afraid to let him get close. 
One day, the mouse spoke to the birds bravely, ""Please don't be"," scared, so I promise I'll be here forever"". 
Suddenly a huge bird swooped her in the air and said with a gentle, ""It's very kind of you all!"" The mouse knew that she must rescue the bird, so she asked her to be nice and not be sad anymore.
So, from now on, they became best friends and played together every day. They always shared the nest and even sang a silly song. 
The little creature said goodbye to all the other birds, waved them in the tree and reminded her of the little one to come back down.


Once upon a time there was a bear who had all brown fur and he looked ahead. He loved running around the forest and playing his favourite place.

Along the way he looked so happy to be so happy. At last, a giant cloud of"
